summary|front_content|back_content
Gateway Definition|Gateway (466)|An object that encapsulates access to an external system or resource.
Mapper Definition|Mapper (473)|An object that sets up a communication between two independent objects.
Layer Supertype Definition|Layer Supertype (475)|A type that acts as the supertype for all types in its layer.
Separated Interface Definition|Separated Interface (476)|Defines an interface in a separate package from its implementation.
Registry Definition|Registry (480)|A well-known object that other objects can use to find common objects and services.
Value Object Definition|Value Object (486)|A small simple object, like money or a date range, whose equality isn't based on identity.
Money Definition|Money (488)|Represents a monetary value.
Special Case Definition|Special Case (496)|A subclass that provides special behavior for particular cases.
Plugin Definition|Plugin (499)|Links classes during configuration rather than compilation.
Service Stub Definition|Service Stub (504)|Removes dependence upon problematic services during testing. WSDL
Record Set Definition|Record Set (508)|An in-memory representation of tabular data.
